risk_score,clv_eur,expected_value_eur,is_churn,tenure_band,active_days_30d,days_since_last_play
0.1938,4.8805,0.9459,0,05 2+ years,22,1.0
0.1352,4.8805,0.6597,0,05 2+ years,30,1.0
0.1913,4.8805,0.9335,0,04 1-2 years,17,3.0
0.262,4.8805,1.2786,0,03 6-12 months,23,1.0
0.1795,4.8805,0.8762,1,04 1-2 years,23,1.0
0.156,4.8805,0.7616,0,05 2+ years,27,1.0
0.2019,4.8805,0.9853,0,04 1-2 years,30,1.0
0.1485,4.8805,0.7248,0,05 2+ years,29,1.0
0.2989,4.8805,1.4586,0,05 2+ years,13,1.0
0.6301,4.8805,3.075,1,05 2+ years,15,7.0
0.2397,4.8805,1.1697,0,02 3-6 months,13,2.0
0.3082,4.8805,1.5041,0,01 0-3 months,14,5.0
0.2334,4.8805,1.1393,1,05 2+ years,24,2.0
0.1726,4.8805,0.8423,0,03 6-12 months,27,1.0
0.3456,4.8805,1.6869,0,05 2+ years,17,1.0
0.9206,7.4219,6.8325,1,05 2+ years,11,9.0
0.9586,16.6348,15.9465,0,05 2+ years,2,17.0
0.1286,4.8805,0.6276,0,05 2+ years,28,1.0
0.4033,4.8805,1.9684,1,05 2+ years,10,5.0
0.212,4.8805,1.0347,0,04 1-2 years,24,1.0
0.5568,4.8805,2.7174,1,03 6-12 months,17,2.0
0.4188,4.8805,2.0438,0,03 6-12 months,28,1.0
0.199,4.8805,0.9711,0,05 2+ years,23,1.0
0.2106,4.8805,1.0278,1,05 2+ years,16,1.0
0.8219,4.8805,4.0111,1,05 2+ years,10,2.0
0.3196,4.8805,1.56,1,05 2+ years,22,1.0
0.1186,4.8805,0.5788,0,03 6-12 months,28,1.0
0.3889,4.8805,1.8982,0,05 2+ years,18,3.0
0.1265,4.8805,0.6176,0,05 2+ years,29,1.0
0.2635,4.8805,1.2859,1,05 2+ years,14,2.0
0.111,4.8805,0.5416,0,05 2+ years,28,1.0
0.8711,16.6348,14.4901,1,05 2+ years,11,2.0
0.5442,4.8805,2.6561,0,04 1-2 years,29,1.0
0.4039,4.8805,1.9713,1,01 0-3 months,19,4.0
0.2659,4.8805,1.2978,0,01 0-3 months,16,1.0
0.8835,16.6348,14.6975,1,04 1-2 years,24,1.0
0.83,16.6348,13.8069,1,05 2+ years,10,1.0
0.2196,4.8805,1.0719,0,05 2+ years,19,2.0
0.2711,4.8805,1.3231,0,05 2+ years,29,1.0
0.1678,4.8805,0.8192,0,05 2+ years,25,1.0
0.5591,3.5253,1.971,0,05 2+ years,29,1.0
0.2814,4.8805,1.3735,0,04 1-2 years,24,1.0
0.274,4.8805,1.3375,0,04 1-2 years,24,1.0
0.3274,4.8805,1.5978,1,05 2+ years,20,5.0
0.9158,16.6348,15.2348,1,01 0-3 months,0,
0.1225,4.8805,0.5978,0,04 1-2 years,20,1.0
0.3498,4.8805,1.7074,0,03 6-12 months,24,1.0
0.7924,7.4219,5.8809,1,04 1-2 years,15,1.0
0.2885,4.8805,1.4078,0,05 2+ years,29,2.0
0.156,4.8805,0.7616,0,05 2+ years,30,1.0
0.3063,4.8805,1.4947,0,04 1-2 years,19,2.0
0.2056,4.8805,1.0037,0,05 2+ years,26,1.0
0.6541,3.5253,2.3059,0,03 6-12 months,19,1.0
0.3184,4.8805,1.554,0,03 6-12 months,12,3.0
0.1672,4.8805,0.8162,1,04 1-2 years,21,1.0
0.0889,4.8805,0.4336,1,04 1-2 years,28,1.0
0.2397,4.8805,1.17,0,04 1-2 years,27,1.0
0.2571,4.8805,1.2546,0,05 2+ years,11,1.0
0.9081,3.5253,3.2013,1,04 1-2 years,2,26.0
0.2307,4.8805,1.126,0,02 3-6 months,20,3.0
0.8173,16.6348,13.5949,0,04 1-2 years,15,2.0
0.5309,4.8805,2.5909,0,03 6-12 months,11,9.0
0.1935,4.8805,0.9442,0,05 2+ years,30,1.0
0.2338,4.8805,1.1412,1,05 2+ years,20,2.0
0.3556,4.8805,1.7356,0,05 2+ years,25,1.0
0.9446,7.4219,7.0109,1,05 2+ years,27,1.0
0.3789,4.8805,1.8494,0,05 2+ years,17,1.0
0.1926,4.8805,0.9399,0,05 2+ years,27,1.0
0.8435,7.4219,6.2606,0,03 6-12 months,27,2.0
0.1192,4.8805,0.5817,0,03 6-12 months,30,1.0
0.7131,7.4219,5.2927,1,05 2+ years,30,1.0
0.1991,4.8805,0.9717,0,04 1-2 years,26,1.0
0.8942,7.4219,6.6368,0,04 1-2 years,4,16.0
0.1649,4.8805,0.805,1,05 2+ years,23,1.0
0.1822,4.8805,0.8893,0,05 2+ years,28,1.0
0.4581,4.8805,2.2356,1,02 3-6 months,17,2.0
0.2753,4.8805,1.3436,0,05 2+ years,12,2.0
0.8778,3.5253,3.0944,1,01 0-3 months,6,1.0
0.1751,4.8805,0.8547,0,05 2+ years,21,1.0
0.266,4.8805,1.2983,1,05 2+ years,27,1.0
0.3378,4.8805,1.6488,0,05 2+ years,19,1.0
0.2558,4.8805,1.2482,0,04 1-2 years,17,1.0
0.1777,4.8805,0.8675,0,05 2+ years,30,1.0
0.1517,4.8805,0.7404,0,05 2+ years,30,1.0
0.1891,4.8805,0.923,0,03 6-12 months,27,1.0
0.2491,4.8805,1.2157,0,03 6-12 months,23,1.0
0.6688,4.8805,3.2641,0,05 2+ years,13,15.0
0.1678,4.8805,0.8191,0,05 2+ years,30,1.0
0.5263,4.8805,2.5687,0,05 2+ years,15,2.0
0.837,16.6348,13.9225,1,05 2+ years,30,1.0
0.1207,4.8805,0.5891,1,05 2+ years,30,1.0
0.15,4.8805,0.7322,0,03 6-12 months,30,1.0
0.8292,16.6348,13.7937,1,05 2+ years,30,1.0
0.8546,7.4219,6.3424,1,05 2+ years,30,1.0
0.1628,4.8805,0.7946,0,04 1-2 years,29,1.0
0.1797,4.8805,0.8769,0,05 2+ years,27,1.0
0.3119,4.8805,1.5224,1,04 1-2 years,8,10.0
0.1539,4.8805,0.7512,0,04 1-2 years,30,1.0
0.3726,4.8805,1.8183,1,04 1-2 years,20,1.0
0.1956,4.8805,0.9549,0,02 3-6 months,16,3.0
0.4681,4.8805,2.2845,1,03 6-12 months,17,1.0
0.8669,16.6348,14.4212,0,04 1-2 years,17,3.0
0.2132,4.8805,1.0405,1,05 2+ years,28,1.0
0.8738,16.6348,14.535,1,05 2+ years,13,2.0
0.6248,4.8805,3.0495,1,03 6-12 months,12,6.0
0.6945,3.5253,2.4483,0,03 6-12 months,30,1.0
0.2348,4.8805,1.1459,1,04 1-2 years,13,3.0
0.9175,16.6348,15.2626,1,05 2+ years,14,3.0
